,count
love,434
low,384
see,358
time,285
like,266
one,265
know,241
day,232
likeembed,198
way,197
night,190
never,180
life,178
got,174
mind,161
little,161
heart,159
still,158
could,157
good,155
let,154
gone,143
take,140
get,135
lonely,134
away,131
come,128
go,127
man,126
tell,124
say,122
home,120
old,117
long,115
back,105
blue,104
eyes,99
world,97
make,94
would,92
around,91
much,89
ever,89
right,88
going,86
stay,84
mine,83
always,83
find,82
live,81
alone,79
remember,74
want,74
leave,73
better,73
song,73
well,73
things,72
think,72
last,72
though,70
gonna,69
days,69
feel,69
place,68
sweet,67
play,65
said,65
thought,65
every,63
someone,63
keep,62
guess,62
without,62
left,59
baby,58
crazy,58
dreams,58
texas,57
times,57
arms,57
morning,56
another,56
dream,55
sun,55
wrong,55
feeling,55
believe,53
thing,52
look,52
told,50
sleep,49
till,49
river,49
hear,49
blues,48
nothing,48
made,48
give,47
need,46
soul,46
happy,46
hold,46
true,46
came,45
anymore,45
sometimes,44
hope,44
cry,43
broken,43
many,43
tomorrow,42
town,42
forever,42
found,42
friends,42
kind,41
end,41
memory,40
forget,40
land,40
may,40
gotta,39
heard,39
please,39
even,39
lose,38
spend,38
new,38
us,38
woman,38
tears,37
since,37
sure,37
start,37
seems,37
name,36
care,36
goodbye,36
lost,36
country,36
memories,36
cold,36
face,35
oh,35
lay,35
looks,35
must,35
hand,35
die,35
sorrow,34
wine,34
done,34
three,34
something,34
touch,34
trying,33
rain,33
sky,33
far,33
singing,33
lord,33
really,32
crying,32
fall,32
used,32
knew,32
living,32
wake,32
road,32
yeah,32
everything,32
sound,31
across,31
cross,31
whiskey,31
bring,31
saw,30
comes,30
record,30
longer,30
loved,30
beautiful,30
turned,30
call,29
falling,29
darling,29
stars,29
went,29
try,29
somebody,29
walked,28
yesterday,28
lot,28
ride,28
close,28
put,28
filled,28
door,27
listen,27
leaving,27
window,27
called,27
money,26
loving,26
glad,26
wait,26
stand,26
run,26
city,26
buddy,26
cause,26
help,25
first,25
kiss,25
hands,25
gold,25
friend,25
street,25
fly,25
dance,25
roll,25
today,24
big,24
skies,24
blind,24
soon,24
along,24
somewhere,24
people,24
whole,24
lies,23
corner,23
songs,23
wanted,23
darkness,23
words,22
wonder,22
yousee,22
behind,22
places,22
unclouded,22
wild,22
pay,22
light,22
moving,22
slips,22
nobody,22
best,22
georgia,21
bad,21
heaven,21
bright,21
two,21
running,21
boy,21
clouds,21
free,21
waiting,21
someday,21
watch,21
condition,20
part,20
seen,20
sing,20
round,20
walk,20
looking,20
nights,20
grow,20
fell,20
understand,20
head,20
healing,20
move,20
pain,20
tonight,20
smile,20
picture,19
cared,19
learned,19
flying,19
hard,19
teardrops,19
lips,19
earth,19
standing,19
miss,19
wind,19
easier,19
alright,18
dawn,18
coming,18
pretty,18
matter,18
dry,18
high,18
fire,18
tried,18
treat,18
maybe,18
sorry,18
tired,18
mary,18
young,18
follow,18
wish,18
dead,18
goes,18
hate,18
rather,18
years,17
slow,17
real,17
sea,17
strong,17
dread,17
cannot,17
buy,17
stranger,17
forgetting,17
sad,17
getting,17
voice,17
ending,16
number,16
hearts,16
shall,16
black,16
fight,16
devil,16
bloody,16
show,16
within,16
train,16
thinking,16
fit,16
talk,16
dreaming,16
took,16
rise,16
taking,16
supposed,16
happened,16
hanging,16
word,16
reach,16
men,16
apart,16
hill,16
change,15
letter,15
lights,15
fine,15
somehow,15
summer,15
lie,15
hello,15
meet,15
girl,15
late,15
taught,15
peculiar,15
funny,15
bet,15
worry,15
water,15
keeps,15
great,15
pick,15
flight,15
spite,15
troubled,15
turns,15
grace,15
proud,15
hair,14
thousand,14
sit,14
houston,14
ask,14
gave,14
learn,14
dark,14
finally,14
mansion,14
precious,14
hiding,14
easy,14
rainy,14
inside,14
fool,14
dies,14
hurt,14
together,14
rest,14
mesee,14
looked,14
takes,14
graceland,14
likes,14
thoughts,14
everybody,14
working,14
lives,14
motel,14
hearted,14
perhaps,13
dear,13
step,13
born,13
wondering,13
pieces,13
mother,13
lady,13
december,13
streets,13
rock,13
saying,13
reason,13
permanently,13
dallas,13
nature,13
red,13
lead,13
planned,13
joy,13
ones,13
pass,13
searching,13
beer,13
known,13
bed,13
ways,13
held,13
met,13
losing,13
loves,13
circle,13
grandpa,13
half,12
deep,12
save,12
pray,12
women,12
thank,12
san,12
moon,12
beyond,12
dancing,12
needed,12
roses,12
busted,12
cried,12
changed,12
talking,12
turn,12
work,12
pull,12
rainbow,12
cloudy,12
received,12
playing,12
beneath,12
hide,12
wanna,12
anything,12
honey,12
hang,12
scene,12
bit,12
past,12
game,12
afraid,12
side,12
unbroken,12
doubt,12
line,12
knows,11
share,11
truth,11
pride,11
paul,11
warning,11
tight,11
job,11
pretend,11
sunshine,11
second,11
brother,11
seem,11
evening,11
next,11
mighty,11
family,11
rivers,11
makes,11
timesee,11
house,11
business,11
riding,11
near,11
stop,11
leaves,11
aching,11
kansas,11
offer,11
throw,11
weak,11
death,11
star,11
laugh,11
lived,10
crowd,10
bay,10
room,10
ran,10
ice,10
fast,10
woke,10
future,10
mona,10
trees,10
body,10
write,10
shining,10
sitting,10
meembed,10
welcome,10
storm,10
telling,10
wife,10
hundred,10
son,10
wander,10
erase,10
alive,10
hell,10
cowboy,10
ribbons,10
undo,10
hoo,10
tennessee,10
music,10
thrill,10
sight,10
making,10
tree,10
chance,10
jimmy,10
lovely,10
coat,10
god,10
traveling,10
hours,10
drunk,10
short,10
drive,9
sometime,9
golden,9
scarlet,9
watched,9
cowboys,9
empty,9
evil,9
walking,9
waltz,9
stood,9
dying,9
brought,9
tale,9
pale,9
worth,9
surprised,9
remembering,9
rose,9
staying,9
shove,9
father,9
table,9
cloudless,9
read,9
tear,9
floor,9
boss,9
broke,9
weather,9
torture,9
education,9
drink,9
green,9
recall,9
everywhere,9
falls,9
warmth,9
row,9
air,9
control,9
means,9
five,9
sunny,9
none,9
top,9
stayed,9
explain,8
clover,8
midnight,8
sail,8
pane,8
four,8
tower,8
eight,8
hurry,8
dancer,8
ten,8
picking,8
kill,8
pity,8
snow,8
mountain,8
ago,8
yet,8
sounds,8
guitar,8
tiger,8
unhappy,8
forgiving,8
although,8
suppose,8
least,8
gives,8
whatever,8
bear,8
headed,8
wreck,8
troubles,8
else,8
heavy,8
sign,8
ageing,8
youembed,8
seeing,8
cool,8
begun,8
breeze,8
highway,8
raindrops,8
lesson,8
warn,8
shore,8
anymoresee,8
paradise,8
melody,8
anyone,8
stallion,8
ground,8
saved,8
children,8
vain,8
climb,8
calling,8
quite,7
race,7
rough,7
bridge,7
caring,7
sees,7
heartache,7
beside,7
laughter,7
wherever,7
anabel,7
smiled,7
excuse,7
feels,7
preacher,7
almost,7
enough,7
bought,7
played,7
alamo,7
blow,7
babies,7
walls,7
crossed,7
la,7
lee,7
stages,7
awake,7
charms,7
sister,7
holding,7
fair,7
watching,7
sleeping,7
scattered,7
maker,7
peace,7
clinging,7
often,7
feed,7
poor,7
fear,7
eye,7
wagon,7
million,7
smiles,7
clothes,7
carry,7
faces,7
scenes,7
doctors,7
tighter,7
grocery,7
bag,7
passed,7
writing,7
simple,7
listened,7
wings,7
birds,7
amazing,7
beat,7
fairly,6
bringing,6
valentine,6
reasons,6
upright,6
rocky,6
growing,6
shack,6
fun,6
forgive,6
autumn,6
eager,6
beginning,6
staring,6
child,6
grave,6
sick,6
fears,6
cities,6
nashville,6
sparrow,6
breath,6
roughest,6
shut,6
diamonds,6
plan,6
outskirts,6
readings,6
lately,6
several,6
different,6
calls,6
clear,6
laid,6
ought,6
reluctant,6
anyway,6
waste,6
farewell,6
peaceful,6
surrender,6
beauty,6
space,6
cuts,6
heartaches,6
orleans,6
thanks,6
mail,6
bone,6
sale,6
baltimore,6
angels,6
miles,6
wise,6
teach,6
gather,6
stick,6
bloom,6
leaf,6
news,6
garden,6
lonesome,6
bottom,6
forevermore,6
treated,6
knees,6
wretch,6
already,6
telephone,6
suddenly,6
rolling,6
faith,6
destroyed,6
arrive,6
upon,6
selling,6
six,6
shotgun,6
local,6
wants,6
spent,6
moonlight,6
regret,6
quick,6
roly,6
swear,6
win,6
gift,6
year,6
feet,6
key,6
except,6
sat,6
prayed,6
bible,6
familiar,6
belong,6
died,6
humming,6
kids,6
speak,6
remain,6
waysee,6
shade,6
order,6
appear,6
flesh,6
smiling,6
everyone,6
shine,6
cottage,6
promised,6
bonnie,5
cleft,5
trouble,5
use,5
toast,5
store,5
driving,5
vermont,5
winds,5
sits,5
promises,5
faults,5
moment,5
follows,5
setting,5
story,5
depends,5
john,5
others,5
borderline,5
untrue,5
avenue,5
ashamed,5
wiser,5
distant,5
reached,5
shed,5
opportunity,5
burning,5
waltzes,5
shivered,5
longest,5
dad,5
unoriginal,5
footsteps,5
heartland,5
withered,5
listens,5
lying,5
dollar,5
theme,5
tail,5
laredo,5
strange,5
answer,5
blame,5
grieve,5
believed,5
laughing,5
breaking,5
august,5
shot,5
nowsee,5
grown,5
overlooked,5
mama,5
letters,5
followed,5
pony,5
killing,5
gain,5
return,5
jeans,5
fiddle,5
joint,5
dropped,5
awaysee,5
careful,5
built,5
path,5
stronger,5
missed,5
surprise,5
twenty,5
ya,5
american,5
white,5
travel,5
wide,5
warm,5
hills,5
waited,5
sailing,5
catch,5
closing,5
sympathy,5
penny,5
silver,5
gay,5
natural,5
burned,5
stone,5
ears,5
frame,5
cards,5
coffee,5
sunlight,5
drinking,5
happiness,5
full,5
ocean,5
plane,5
choice,5
mountains,5
lonelysee,5
whiter,5
walks,5
lifesee,5
later,5
nowhere,5
laughed,5
parties,5
leads,5
bags,5
ceiling,5
loud,5
nickels,5
act,5
harder,5
booty,5
paid,5
coast,5
afternoon,5
againsee,5
blew,5
outside,5
test,5
cotton,5
dimes,5
sunday,5
settle,5
ease,5
springtime,5
boston,5
dreamed,5
rolls,5
wetness,4
build,4
changes,4
front,4
raging,4
tracks,4
whose,4
goodbyesee,4
robins,4
neon,4
antonio,4
comfort,4
crysee,4
remembered,4
pocket,4
skin,4
shines,4
complete,4
salve,4
staggering,4
reminding,4
bottle,4
fords,4
buried,4
drank,4
teardrop,4
company,4
stardust,4
amber,4
wheels,4
worst,4
hurting,4
lasts,4
gals,4
minds,4
closely,4
pulled,4
taxi,4
ear,4
seemed,4
yonder,4
wonderful,4
buffalo,4
console,4
hilltop,4
runs,4
learning,4
hat,4
confessing,4
horse,4
sin,4
glass,4
score,4
closed,4
survive,4
minute,4
pressed,4
fix,4
paycheck,4
ache,4
turning,4
poly,4
plain,4
antone,4
yard,4
bills,4
saddled,4
classify,4
throne,4
dog,4
pucker,4
soft,4
dim,4
bird,4
mistakes,4
guitars,4
smaller,4
meadow,4
lamb,4
weep,4
open,4
wall,4
steel,4
difficult,4
september,4
became,4
energy,4
drew,4
sweetheart,4
sang,4
tarry,4
raining,4
grabbed,4
flowers,4
lucky,4
drowning,4
sands,4
stare,4
againembed,4
santa,4
presence,4
luck,4
smoke,4
romance,4
rhymes,4
wasted,4
sent,4
sigh,4
goal,4
narrow,4
straight,4
maria,4
speed,4
tune,4
jest,4
stockade,4
measure,4
echoes,4
tavern,4
needs,4
touching,4
praise,4
sundown,4
wheel,4
connection,4
talks,4
fields,4
contented,4
hole,4
meant,4
apple,4
current,4
drag,4
loveless,4
washed,4
undertaker,4
youth,4
shadows,4
master,4
image,4
point,4
dominoes,4
silence,4
quiet,4
crawling,4
paved,4
less,4
pills,4
wondered,4
starting,4
fools,4
started,4
clearly,4
resemble,4
furnished,4
gambling,4
flowing,4
dimers,4
spot,4
bathing,4
fate,4
wearing,4
peaks,4
tempo,4
whether,4
rode,4
temptation,4
human,4
flow,4
ghosts,4
taste,4
crossing,4
disguise,4
angel,4
boys,4
flows,4
asked,4
starts,4
adores,4
gate,4
milk,4
party,4
radio,4
mansions,3
london,3
tea,3
continue,3
hostess,3
print,3
receive,3
spring,3
seasons,3
aloud,3
flightembed,3
rush,3
voices,3
cannonball,3
yearning,3
bend,3
nine,3
ends,3
brown,3
queen,3
mean,3
gosee,3
stories,3
style,3
columbus,3
sell,3
backs,3
mindembed,3
craves,3
forgetfulness,3
boots,3
california,3
gonesee,3
spin,3
fan,3
timeembed,3
weed,3
weary,3
downtown,3
dust,3
austin,3
sings,3
april,3
partner,3
remaining,3
tore,3
refrain,3
shooting,3
railroad,3
liberty,3
proudly,3
wandering,3
kisses,3
eating,3
explaining,3
adore,3
fought,3
married,3
case,3
drives,3
nearly,3
week,3
sidewalk,3
course,3
tonking,3
war,3
honky,3
rails,3
soldiers,3
hardest,3
valleys,3
figure,3
pedernales,3
changing,3
dice,3
jolly,3
cellar,3
aiy,3
knock,3
drum,3
belongs,3
boysee,3
stains,3
riches,3
covered,3
chains,3
compete,3
fountain,3
flashing,3
signed,3
allsee,3
worried,3
doorstep,3
pins,3
needles,3
loneliness,3
wrapped,3
saturday,3
minesee,3
dressed,3
force,3
felt,3
washing,3
speaker,3
jumped,3
began,3
fife,3
lowly,3
march,3
sod,3
enemy,3
named,3
lisa,3
spirit,3
tells,3
caught,3
foolish,3
grand,3
glory,3
strength,3
bluebirds,3
exes,3
girls,3
trucks,3
lawyers,3
reassuring,3
king,3
lines,3
consider,3
hurts,3
insane,3
crumbling,3
resort,3
avenuesee,3
sweetest,3
charlie,3
airborne,3
club,3
arm,3
airport,3
dime,3
ringing,3
surprising,3
flood,3
happens,3
wounds,3
assure,3
overtime,3
unsure,3
kissing,3
gladly,3
torn,3
memphis,3
numbed,3
knowledge,3
tender,3
fail,3
vine,3
lyricswell,3
wisdom,3
stumbled,3
distance,3
thunder,3
beg,3
given,3
daysee,3
stream,3
trails,3
cow,3
strongest,3
fifteen,3
missing,3
heed,3
conceive,3
doubting,3
prepared,3
mindsee,3
handed,3
handle,3
sweethearts,3
statements,3
opportunities,3
dusty,3
disbelieve,3
bottles,3
waits,3
prayer,3
liked,3
tall,3
thе,3
factory,3
shame,3
admit,3
plum,3
favorite,3
cars,3
flowed,3
christian,3
mention,3
native,3
sending,3
mineembed,3
letting,3
montana,3
carved,3
fades,3
lasted,3
spell,3
beams,3
patch,3
realize,3
intended,3
dayembed,3
college,3
mixture,3
trust,3
choose,3
answered,3
screamed,3
danced,3
oatmeal,3
tastes,3
confetti,3
power,3
sides,3
cloud,3
tie,3
travelled,3
mexico,3
sweater,3
mold,3
hot,3
probably,3
blood,3
panther,3
chicken,3
fancy,3
forgotten,3
jet,3
faithful,3
deceit,3
extremely,3
pitfalls,3
haze,3
smog,3
runway,3
misery,3
weight,3
feelings,3
corn,3
candle,3
kissed,3
grass,3
fairy,3
rich,3
fallen,3
meeting,3
notion,3
strangest,3
rolled,3
bar,3
bubbles,3
friday,3
windows,3
rita,3
level,3
begin,3
plenty,3
rhyme,3
bat,3
promise,3
pack,3
fruit,3
anew,3
agree,3
pages,3
holds,3
separate,3
mmm,3
pulling,3
spirits,3
biting,3
west,3
thrown,3
tongues,3
shoot,3
gets,3
underwear,3
thief,2
deserted,2
bare,2
stepped,2
soldier,2
begunsee,2
carpets,2
spotted,2
bo,2
group,2
pulls,2
bushels,2
behold,2
skyembed,2
carrying,2
loan,2
shoes,2
hearse,2
cries,2
eighty,2
pound,2
due,2
sorrows,2
photograph,2
loss,2
determined,2
denver,2
hillside,2
leaned,2
cast,2
greedy,2
violets,2
breezes,2
ridden,2
plains,2
sunset,2
forefathers,2
bluebonnets,2
folks,2
friendship,2
steal,2
bragging,2
fragrance,2
boast,2
signals,2
judged,2
shone,2
middle,2
knocked,2
sleeps,2
anyhow,2
aged,2
worlds,2
asleep,2
cares,2
sword,2
pool,2
glove,2
bars,2
lovesee,2
spinning,2
waves,2
enjoy,2
damn,2
flag,2
eternity,2
fort,2
garrison,2
bluer,2
gleaming,2
truer,2
leg,2
break,2
bobbie,2
lean,2
worship,2
tumbling,2
knowembed,2
parting,2
charm,2
longing,2
wear,2
sheds,2
eternal,2
reconsider,2
paths,2
forewarned,2
fatty,2
flooding,2
unkind,2
throat,2
fingernails,2
speaks,2
confesses,2
hollowed,2
ruining,2
earthsee,2
sounded,2
dismissing,2
safely,2
tightly,2
clutched,2
slam,2
pillow,2
searched,2
slipped,2
highest,2
billy,2
sung,2
finds,2
hungry,2
aroundsee,2
bullet,2
silent,2
bids,2
brag,2
chances,2
hall,2
acted,2
sam,2
unkindly,2
important,2
secrets,2
bury,2
chapters,2
crown,2
trail,2
footing,2
peg,2
reveal,2
somedaysee,2
twas,2
idle,2
jokes,2
bluessee,2
bluest,2
thankful,2
heartbreak,2
owned,2
messed,2
trade,2
bе,2
imagine,2
bound,2
bluesembed,2
forgot,2
grey,2
paying,2
rent,2
count,2
hank,2
rust,2
track,2
til,2
book,2
relived,2
pour,2
weird,2
mixed,2
following,2
moments,2
ay,2
directing,2
rhythms,2
nightmares,2
older,2
finer,2
tomorrows,2
happen,2
mouth,2
exchange,2
suggestion,2
perfect,2
sunrise,2
refer,2
someway,2
lied,2
escape,2
lets,2
obstacles,2
slowly,2
wichita,2
tumbleweeds,2
texan,2
birth,2
soulembed,2
linen,2
clay,2
grab,2
godspeed,2
